    [junit] after exp_mod_n: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|3933184> (0.003906) (|11 1100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|3956736> (0.003906) (|11 1100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3969024> (0.003906) (|11 1100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|3983360> (0.003906) (|11 1100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|3998720> (0.003906) (|11 1101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|4022272> (0.003906) (|11 1101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4034560> (0.003906) (|11 1101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4048896> (0.003906) (|11 1101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|4064256> (0.003906) (|11 1110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|4087808> (0.003906) (|11 1110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4100096> (0.003906) (|11 1110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4114432> (0.003906) (|11 1110 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|4129792> (0.003906) (|11 1111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|4153344> (0.003906) (|11 1111 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4165632> (0.003906) (|11 1111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|4179968> (0.003906) (|11 1111 1100 1000 0000 0000>)
